ra,dec,umag,eu,bmag,eb,vmag,ev,gmag,eg,rmag,er,imag,ei,zmag,ez,kmag,ek,zp_best,zl68_gal,zu68_gal,Origin,SpecRA,SpecDEC,z_spec,Q_f,SpecOrigin,Outlier,I_FWHMArea,Z_FWHMArea,R_FWHMArea,G_FWHMArea
149.4761,1.803692,23.966,0.0427,23.1744,0.0302,22.2659,0.0167,23.0364,0.0241,21.9132,0.0144,21.4136,0.0111,20.9842,0.0102,19.5954,0.0491,0.34,0.75,2.22,Cosmos2006,149.4761233,1.803654063,0.2817,3.0,publicSpecZ,0,29,29.0,34.0,29.0
149.47612,2.676238,22.8449,0.0233,21.9249,0.0165,21.7235,0.0128,22.0381,0.0148,21.6307,0.0122,21.4342,0.0111,21.2917,0.0118,21.556,0.3219,0.06,0.02,0.12,Cosmos2006,149.4761212,2.676243986,0.4243,1.0,publicSpecZ,0,83,75.0,57.0,75.0
149.47692,2.254268,25.4091,0.0944,25.0164,0.0789,25.0438,0.0757,25.3242,0.0892,24.7647,0.0614,24.3115,0.0546,23.7402,0.0638,22.7745,0.9242,0.82,0.78,1.48,Cosmos2006,149.476898,2.2542720000000003,1.408,3.0,DEIMOS,0,21,25.0,15.0,25.0
149.47782,2.426361,23.782,0.038,23.496,0.036000000000000004,23.331,0.029,23.631,0.034,23.177,0.026,22.454,0.019,22.132,0.02,21.526,0.034,0.873,0.86,0.89,mag25lim,149.47783,2.426354755,0.8759999999999999,1.0,publicSpecZ,0,13,16.0,15.0,16.0
149.47785,2.214912,24.11,0.043,23.557,0.037000000000000005,23.155,0.027000000000000003,23.638,0.034,22.587,0.02,21.814,0.014,21.411,0.013,20.145,0.011,0.69,0.67,0.7,mag25lim,149.47785,2.214912,0.6829999999999999,4.0,DEIMOS,0,47,43.0,71.0,43.0
149.47794,2.620232,23.642,0.035,23.274,0.033,23.067,0.025,23.439,0.031,22.75800000000001,0.021,22.20300000000001,0.017,21.863000000000003,0.017,21.05,0.022,0.7120000000000001,0.7,0.72,mag25lim,149.4779376,2.620204197,0.7039,2.0,publicSpecZ,0,51,45.0,76.0,45.0
149.47798999999995,2.67792,23.419,0.032,23.02,0.029,22.807,0.022,23.219,0.027000000000000003,22.462,0.019,22.135,0.016,22.012,0.018000000000000002,21.449,0.032,0.5589999999999999,0.55,0.57,mag25lim,149.477982,2.677873,0.5529,3.5,zCOSMOS,0,26,23.0,33.0,23.0
149.47817,2.53598,24.887,0.07400000000000001,23.481,0.037000000000000005,22.524,0.02,23.422,0.033,21.82800000000001,0.014,21.273000000000003,0.011,20.913,0.01,19.971,0.01,0.391,0.38,0.4,mag25lim,149.4781934,2.535986477,0.8957999940000001,4.0,publicSpecZ,0,12,15.0,30.0,15.0
149.47842,2.466295,24.283,0.051,23.994,0.047,23.691,0.036000000000000004,24.149,0.046,23.484,0.032,22.7,0.022,22.222,0.022,21.252,0.028,0.97,0.93,0.98,mag25lim,149.4784441,2.466263131,0.994,3.0,publicSpecZ,0,14,17.0,21.0,17.0
149.47876000000005,2.270928,23.915,0.0386,23.4705,0.0346,23.2946,0.0279,23.6431,0.033,22.8247,0.0218,22.2999,0.0172,22.0748,0.0193,21.2017,0.1873,0.68,0.57,0.69,Cosmos2006,149.478776,2.27092383,0.6343546,3.0,publicSpecZ,0,50,49.0,58.0,49.0
149.48027,1.618009,24.311,0.052000000000000005,23.726,0.041,23.243,0.028,23.748,0.036000000000000004,23.047,0.025,22.951,0.025,22.711,0.03,22.772,0.132,0.328,0.32,0.34,mag25lim,149.480316,1.618038,0.8949,1.1,zCOSMOS,0,37,34.0,60.0,34.0
149.48174,2.2492810000000003,25.94400000000001,0.1402,25.3761,0.0968,24.7444,0.0639,25.3841,0.0949,24.1278,0.0433,22.9528,0.0243,22.3276,0.0229,21.2147,0.2217,0.89,0.82,0.93,Cosmos2006,149.4817486,2.249253325,0.70331174,3.0,publicSpecZ,0,9,16.0,17.0,16.0
149.48273999999995,1.863028,24.78,0.068,23.533,0.037000000000000005,22.639,0.021,23.433000000000003,0.031,21.727,0.013,20.948,0.01,20.454,0.01,18.98,0.01,0.508,0.49,0.52,mag25lim,149.4827652,1.863027826,0.471899986,3.0,publicSpecZ,0,24,22.0,34.0,22.0
149.48351,2.225066,24.001,0.04,23.631,0.04,23.392,0.03,23.851,0.04,23.024,0.025,22.655,0.022,22.522,0.027000000000000003,22.111,0.058,0.5539999999999999,0.54,0.57,mag25lim,149.48352580000005,2.225044008,0.5348,3.0,publicSpecZ,0,47,45.0,59.0,45.0
149.48398999999995,2.06984,23.42,0.03,22.896,0.027000000000000003,22.476,0.019,23.077,0.026,22.061,0.015,21.709,0.013,21.428,0.013,20.508000000000006,0.012,0.49,0.48,0.5,mag25lim,149.48398999999995,2.06984,0.477,4.0,DEIMOS,0,36,49.0,58.0,49.0
149.48405,2.03399,22.7,0.021,22.173,0.019,21.708,0.013,22.291,0.017,21.294,0.011,20.956,0.01,20.706,0.01,19.881,0.01,0.488,0.48,0.5,mag25lim,149.48405,2.03399,0.478,4.0,DEIMOS,0,39,47.0,57.0,47.0
149.48414,2.273923,24.627,0.057,24.397,0.059,24.121,0.048,24.531,0.059,23.882,0.04,23.2,0.029,22.673,0.031,21.582,0.037000000000000005,1.013,1.0,1.03,mag25lim,149.4841482,2.273892686,1.0771997,2.0,publicSpecZ,0,16,21.0,28.0,21.0
149.48453999999995,1.761123,23.498,0.033,22.8,0.026,22.105,0.016,22.75800000000001,0.022,21.81900000000001,0.014,21.407,0.011,21.064,0.011,20.147,0.012,0.316,0.31,0.33,mag25lim,149.4845529,1.761111092,0.2967,4.0,publicSpecZ,0,26,25.0,34.0,25.0
